industry_id,industry_name,parent_industry_id,industry_level,gics_sector_hint,description,keywords
IND_SEMICON,半導體,,1,Information Technology,半導體設計、製造、封測、材料與載板,"晶圓,製程,IC,封測,載板"
IND_FOUNDRY,晶圓代工,IND_SEMICON,2,Semiconductors,替客戶製造晶圓與先進製程服務,"晶圓代工,製程,foundry"
IND_IC_DESIGN,IC設計,IND_SEMICON,2,Semiconductors,無晶圓廠晶片設計與 SoC 產品,"IC設計,晶片,SoC"
IND_OSAT,半導體封測,IND_SEMICON,2,Semiconductors,半導體封裝、測試與系統級封裝,"封裝,測試,SiP"
IND_ABF_SUBSTRATE,ABF載板,IND_SEMICON,2,Technology Hardware,高階 IC 載板與 PCB 供應鏈,"ABF,載板,PCB"
IND_AI_INFRA,AI基礎設施,,1,Information Technology,電源、散熱、自動化與資料中心基礎設施,"電源,散熱,資料中心,AI"
IND_AI_SERVER,AI伺服器,IND_AI_INFRA,2,Technology Hardware,AI server、雲端伺服器與機櫃系統,"AI伺服器,server,cloud"
IND_EMS,電子代工,,1,Technology Hardware,電子產品代工、組裝與供應鏈管理,"EMS,ODM,代工"
IND_COMPUTER_BRAND,電腦品牌,IND_EMS,2,Technology Hardware,PC、筆電、消費電子與品牌通路,"PC,筆電,品牌"
IND_FINANCIAL,金融保險,,1,Financials,金控、銀行、壽險、產險與證券,"金控,銀行,保險,利率"
IND_FINANCIAL_HOLDING,金融控股,IND_FINANCIAL,2,Financials,金融控股公司與子公司組合,"金控,銀行,保險"
IND_TELECOM,電信,,1,Communication Services,固網、行動通信、IDC 與雲端服務,"電信,5G,IDC"
IND_CLOUD_IDC,IDC/雲端,IND_TELECOM,2,Communication Services,資料中心、雲端與企業資通訊服務,"IDC,雲端,資料中心"
IND_FOOD,食品,,1,Consumer Staples,食品製造、流通與通路品牌,"食品,飲料,通路"
IND_RETAIL_CHANNEL,通路,IND_FOOD,2,Consumer Staples,零售、流通與便利商店/通路服務,"通路,零售,超商"
IND_EV_SUPPLY_CHAIN,電動車供應鏈,,1,Consumer Discretionary,電動車零組件、組裝與能源管理相關供應鏈,"EV,電動車,車用電子"
IND_GREEN_POWER,電源/節能,IND_AI_INFRA,2,Industrials,電源管理、節能設備與能源基礎設施,"電源,節能,能源管理"
IND_AI_PC,AI PC,IND_COMPUTER_BRAND,3,Technology Hardware,AI PC、消費性電腦與邊緣 AI 裝置,"AI PC,筆電,邊緣AI"
